	tsrc.name.new	ttgt.name.new	tweight.new	tcommon.num.new
afr_fil	afr	fil	0.00983265466148573	2533
msa_zho	msa	zho	0.0425911334135114	1027
por_sqi	por	sqi	0.192434529582929	992
ell_rus	ell	rus	0.00536685872207074	1305
dan_nor	dan	nor	0.215151515151515	3550
fra_hat	fra	hat	0.446923076923077	1162
glg_spa	glg	spa	0.0023675438029859	4838
eng_fil	eng	fil	0.901809317148724	232316
kor_msa	kor	msa	0.00682991212111122	11281
ces_eng	ces	eng	0.00192670633405973	20923
msa_tha	msa	tha	0.00460527595981086	710
fil_spa	fil	spa	0.00815036007414846	16655
eng_heb	eng	heb	0.433510638297872	1467
msa_por	msa	por	0.0463797345012919	75015
cat_spa	cat	spa	0.0119223790144989	24363
msa_spa	msa	spa	0.0233040106329045	47621
msa_sqi	msa	sqi	0.10533462657614	543
eng_rus	eng	rus	0.123260911584601	29972
eng_tha	eng	tha	0.255216610127715	39347
spa_sqi	spa	sqi	0.546653734238603	2818
ces_msa	ces	msa	0.00246048779897137	4064
eng_hun	eng	hun	0.543921731890092	2613
cat_msa	cat	msa	0.00103529383273648	1710
msa_tur	msa	tur	0.0278695133771949	6498
jpn_rus	jpn	rus	0.0168284949354126	4092
kor_zho	kor	zho	0.0546178409986314	1317
msa_swa	msa	swa	0.164655784244145	928
eng_nor	eng	nor	0.569757575757576	9401
eng_hbs	eng	hbs	0.682531894013739	5564
aze_tur	aze	tur	0.00372279741634428	868
deu_nld	deu	nld	0.00194885183210458	848
jpn_tha	jpn	tha	0.0075889758774348	1170
fra_ita	fra	ita	0.0100289101544116	895
ita_por	ita	por	0.00343388716150337	5554
eng_nld	eng	nld	0.520046974683312	226287
ara_fas	ara	fas	0.246414122839279	670
fil_msa	fil	msa	0.0464338365507158	76695
ces_slk	ces	slk	0.274268526114301	1003
eng_swe	eng	swe	0.429351983389793	15716
fil_kor	fil	kor	0.00810050278982833	2349
ara_eng	ara	eng	0.0107665524959102	116919
jpn_zho	jpn	zho	0.104424998963215	2518
eng_slk	eng	slk	0.720262510254307	2634
por_spa	por	spa	0.0417050817531765	85223
eng_fra	eng	fra	0.538273709272674	79580
glg_por	glg	por	0.00329972196271939	5337
deu_fra	deu	fra	0.00645955506855245	955
kor_vie	kor	vie	0.0832520325203252	512
eng_spa	eng	spa	0.346116503904147	707278
ell_eng	ell	eng	0.00112307558429444	12196
eng_fin	eng	fin	0.706690871369295	2725
msa_nld	msa	nld	0.0158298247871891	6888
eng_est	eng	est	0.464388835418672	965
ell_jpn	ell	jpn	0.00597865222680683	15559
eng_lav	eng	lav	0.371841155234657	5047
eng_hin	eng	hin	0.810418445772844	949
deu_tur	deu	tur	0.00333250413882432	777
nld_fra	nld	fra	0.00450477871796433	666
spa_fra	spa	fra	0.0284626258936845	4208
tur_nld	tur	nld	0.00358515195528672	1560
spa_ita	spa	ita	0.106552968333296	9509
fil_ces	fil	ces	0.0349570666992227	859
eng_cat	eng	cat	0.35387323943662	11457
spa_nld	spa	nld	0.00133064293725065	579
eng_aze	eng	aze	0.434575733544806	548
ukr_rus	ukr	rus	0.00857052381363634	2084
spa_ron	spa	ron	0.154166666666667	777
spa_ces	spa	ces	0.132869409514508	3265
tha_kor	tha	kor	0.0165527515500962	4800
swe_nor	swe	nor	0.0433939393939394	716
kor_jpn	kor	jpn	0.00756371170592363	19684
eng_dan	eng	dan	0.758666555823427	9126
msa_dan	msa	dan	0.0818023110815529	984
kor_eng	kor	eng	0.00361767361467623	39286
msa_ita	msa	ita	0.0424463817485041	3788
por_fil	por	fil	0.0489536549293314	12611
msa_glg	msa	glg	0.100623521823264	936
por_fra	por	fra	0.00854961005931968	1264
eng_afr	eng	afr	0.861794851101606	21357
spa_kor	spa	kor	0.00340365953748853	987
msa_deu	msa	deu	0.0167259834634694	1236
ita_fil	ita	fil	0.00638947871014825	1646
msa_eng	msa	eng	0.0915958567019646	994682
ita_eng	ita	eng	0.00430555280577819	46756
fra_ara	fra	ara	0.00659224368118306	2417
por_ces	por	ces	0.20091156960892	4937
eng_deu	eng	deu	0.498829451804539	36862
por_cat	por	cat	0.0467630343464295	1514
nld_fil	nld	fil	0.0346724324660049	8932
tur_eng	tur	eng	0.00434514959991123	47186
por_eng	por	eng	0.0611742843685209	664320
jpn_eng	jpn	eng	0.00869923149989433	94469
por_fin	por	fin	0.136410788381743	526
msa_ara	msa	ara	0.0240942824491399	8834
spa_eus	spa	eus	0.768205128205128	1498
nld_afr	nld	afr	0.912234686465983	22607
spa_deu	spa	deu	0.0163606100382965	1209
por_hbs	por	hbs	0.116045142296369	946
rus_bul	rus	bul	0.321494182486222	525
msa_fra	msa	fra	0.0191554554493618	2832
fil_afr	fil	afr	0.102211282382374	2533
por_mlt	por	mlt	0.591695501730104	684
rus_ell	rus	ell	0.0426345192590415	1305
nor_dan	nor	dan	0.295120126361294	3550
hat_fra	hat	fra	0.00785968899440623	1162
spa_glg	spa	glg	0.520103203612126	4838
fil_eng	fil	eng	0.0213929507577031	232316
msa_kor	msa	kor	0.0389024146326324	11281
eng_ces	eng	ces	0.851462987832174	20923
spa_fil	spa	fil	0.0646517423557224	16655
por_msa	por	msa	0.0454167057676764	75015
spa_cat	spa	cat	0.752501853224611	24363
spa_dan	spa	dan	0.154792584587247	1862
spa_msa	spa	msa	0.0288314196542361	47621
por_dan	por	dan	0.0922769972566298	1110
rus_eng	rus	eng	0.00275998863664094	29972
tha_eng	tha	eng	0.00362329083430906	39347
sqi_spa	sqi	spa	0.00137902820107778	2818
msa_ces	msa	ces	0.165384771904122	4064
eng_bul	eng	bul	0.369871402327005	604
msa_cat	msa	cat	0.0528169014084507	1710
tur_msa	tur	msa	0.00393411656439861	6498
rus_jpn	rus	jpn	0.00157237900328386	4092
zho_kor	zho	kor	0.00454166120655765	1317
tur_aze	tur	aze	0.688342585249802	868
nld_deu	nld	deu	0.0114754320202444	848
ita_fra	ita	fra	0.00605371914801512	895
eng_cym	eng	cym	0.903296703296703	822
por_ita	por	ita	0.0622352703883822	5554
nld_eng	nld	eng	0.0208377668697307	226287
fas_ara	fas	ara	0.00182739067703461	670
msa_fil	msa	fil	0.297716324225285	76695
spa_hbs	spa	hbs	0.216265947006869	1763
slk_ces	slk	ces	0.0408171570422822	1003
swe_eng	swe	eng	0.00144721678277889	15716
kor_fil	kor	fil	0.00911839944722857	2349
eng_ara	eng	ara	0.318890582937626	116919
msa_afr	msa	afr	0.0647647486078606	1605
spa_por	spa	por	0.0526910632993881	85223
fra_eng	fra	eng	0.00732816948164574	79580
por_glg	por	glg	0.573747581165341	5337
fra_deu	fra	deu	0.0129233933718554	955
vie_kor	vie	kor	0.00176562683201026	512
spa_eng	spa	eng	0.0651300961879798	707278
eng_ell	eng	ell	0.39844490182626	12196
nld_msa	nld	msa	0.00417023621046131	6888
jpn_ell	jpn	ell	0.508314548008756	15559
msa_hbs	msa	hbs	0.103778213935231	846
tur_deu	tur	deu	0.0105146352355305	777
